Product ID,Product Name,Price,Stock Quantity,Warranty Period,Product Dimensions,Manufacturing Date,Expiration Date,Color/Size Variations,Product Ratings
GF0IT7WH,Monitor,,43.0,2.0,9x6x7 cm,2023-07-30,2024-01-01,Red/Small,5.0
01MM8M6E,Laptop,149.96,94.0,3.0,17x19x14 cm,2023-03-15,2024-01-01,Green/Large,1.0
YTFM1TLG,Smartphone,,12.0,1.0,18x15x8 cm,2023-01-01,2025-01-01,Blue/Medium,
XNJQXRM1,Laptop,,37.0,1.0,15x19x5 cm,2023-01-01,2026-01-01,Green/Large,
B961OWR5,Monitor,302.71,74.0,2.0,17x5x16 cm,2023-07-30,2024-01-01,Blue/Medium,2.0
R0VD36R0,Monitor,405.37,96.0,2.0,18x11x19 cm,2023-01-01,2025-01-01,Blue/Medium,
VLWYYV8I,Monitor,,19.0,3.0,19x19x11 cm,2023-01-01,2026-01-01,Red/Small,3.0
R34NP2U9,Smartphone,45.34,12.0,2.0,19x15x15 cm,2023-07-30,2026-01-01,Blue/Medium,
LFP5YYLI,Monitor,111.16,46.0,3.0,13x19x19 cm,2023-07-30,2025-01-01,Blue/Medium,5.0
XYNAPOCA,Laptop,390.3,91.0,3.0,8x16x19 cm,2023-07-30,2024-01-01,Red/Small,3.0
AN8PGC9A,Smartphone,498.84,75.0,3.0,7x6x5 cm,2023-01-01,2025-01-01,Blue/Medium,3.0
EJOM3BJH,Laptop,241.93,86.0,1.0,18x7x17 cm,2023-03-15,2024-01-01,Green/Large,4.0
8BQDEI82,Monitor,101.45,87.0,2.0,11x7x16 cm,2023-07-30,2026-01-01,Blue/Medium,
52HPB9QY,Smartphone,289.7,87.0,2.0,11x17x6 cm,2023-01-01,2025-01-01,Blue/Medium,2.0
3VS5XCWL,Headphones,,92.0,,7x15x15 cm,2023-01-01,2025-01-01,Red/Small,
IZN34WM6,Smartphone,393.54,72.0,1.0,16x20x8 cm,2023-01-01,2025-01-01,Green/Large,3.0
E6PDMLSD,Headphones,468.21,11.0,3.0,18x13x13 cm,2023-03-15,2024-01-01,Green/Large,2.0
CREV63V4,Laptop,,10.0,1.0,13x12x18 cm,2023-01-01,2024-01-01,Blue/Medium,
HEB5CHW5,Laptop,179.54,86.0,3.0,12x7x14 cm,2023-03-15,2026-01-01,Green/Large,4.0
K4BN9L0D,Laptop,329.15,79.0,1.0,19x10x9 cm,2023-01-01,2024-01-01,Blue/Medium,3.0
2BBH5XLH,Monitor,74.39,,,7x6x9 cm,2023-03-15,2025-01-01,Red/Small,4.0
NZ99U0W6,Smartphone,174.84,44.0,3.0,19x7x11 cm,2023-03-15,2026-01-01,Red/Small,4.0
JHQ82GFX,Monitor,402.31,5.0,1.0,20x14x14 cm,2023-07-30,2026-01-01,Blue/Medium,
LA0QZ0CZ,Smartphone,291.37,10.0,3.0,7x19x18 cm,2023-01-01,2025-01-01,Blue/Medium,4.0
273RFMHT,Smartphone,233.38,99.0,1.0,5x6x14 cm,2023-07-30,2024-01-01,Red/Small,3.0
WXWE8K8M,Smartphone,329.15,21.0,3.0,13x15x16 cm,2023-07-30,2026-01-01,Blue/Medium,5.0
W74EI8WM,Smartphone,265.5,,2.0,13x13x12 cm,2023-07-30,2024-01-01,Green/Large,3.0
E2QJSTCD,Headphones,373.91,51.0,,13x15x5 cm,2023-07-30,2026-01-01,Blue/Medium,
ERAFRESU,Smartphone,462.28,63.0,,16x16x7 cm,2023-03-15,2025-01-01,Green/Large,
AXJKGT1D,Smartphone,167.95,18.0,3.0,18x14x12 cm,2023-01-01,2025-01-01,Green/Large,
D6D6IIET,Laptop,229.38,39.0,3.0,17x20x17 cm,2023-07-30,2025-01-01,Blue/Medium,2.0
30O9HAXH,Monitor,298.48,97.0,,18x20x13 cm,2023-03-15,2026-01-01,Blue/Medium,1.0
9Y137KWW,Laptop,251.13,2.0,1.0,12x5x6 cm,2023-03-15,2024-01-01,Red/Small,3.0
9QCU5LIT,Laptop,243.63,51.0,3.0,8x17x7 cm,2023-01-01,2024-01-01,Red/Small,
D7A6L8TX,Headphones,442.91,8.0,2.0,19x8x20 cm,2023-03-15,2025-01-01,Blue/Medium,3.0
381AZNE9,Headphones,272.05,16.0,3.0,6x12x8 cm,2023-07-30,2025-01-01,Green/Large,3.0
5U6RM8NQ,Laptop,145.28,37.0,2.0,19x17x15 cm,2023-07-30,2026-01-01,Red/Small,3.0
81G13OYQ,Monitor,303.83,44.0,1.0,19x13x11 cm,2023-01-01,2025-01-01,Blue/Medium,
Q6D8PU45,Headphones,496.18,4.0,2.0,19x5x17 cm,2023-01-01,2024-01-01,Green/Large,4.0
UP51GX64,Headphones,115.19,30.0,3.0,15x7x16 cm,2023-01-01,2024-01-01,Blue/Medium,3.0
HZ0V0CP4,Smartphone,497.17,3.0,1.0,16x20x5 cm,2023-01-01,2024-01-01,Blue/Medium,4.0
7370NVFD,Smartphone,445.68,7.0,,10x8x8 cm,2023-03-15,2026-01-01,Red/Small,
P18HXNO7,Headphones,335.57,,2.0,6x16x20 cm,2023-07-30,2024-01-01,Red/Small,2.0
7LSZNWE6,Smartphone,,,1.0,17x18x18 cm,2023-03-15,2024-01-01,Green/Large,
CMDO6EH5,Laptop,290.54,60.0,3.0,13x5x12 cm,2023-03-15,2024-01-01,Green/Large,3.0
BYBMMR12,Smartphone,210.08,37.0,1.0,17x10x13 cm,2023-01-01,2025-01-01,Blue/Medium,4.0
CJVYM871,Headphones,371.57,47.0,3.0,18x11x12 cm,2023-07-30,2024-01-01,Red/Small,1.0
BG6310C8,Laptop,,3.0,1.0,6x10x18 cm,2023-01-01,2026-01-01,Blue/Medium,
ZBU2M4S7,Laptop,259.18,92.0,1.0,14x6x8 cm,2023-01-01,2026-01-01,Green/Large,3.0
V48DVTYY,Laptop,237.78,,3.0,5x5x13 cm,2023-03-15,2025-01-01,Green/Large,2.0
DZ7167XR,Laptop,104.78,41.0,,5x12x9 cm,2023-01-01,2024-01-01,Red/Small,5.0
NAGQPF4M,Monitor,114.64,61.0,1.0,18x11x13 cm,2023-01-01,2025-01-01,Green/Large,1.0
HVUA6QCR,Smartphone,155.72,91.0,3.0,16x6x9 cm,2023-01-01,2024-01-01,Blue/Medium,3.0
QALGU4PU,Laptop,425.77,27.0,1.0,5x11x7 cm,2023-03-15,2026-01-01,Green/Large,2.0
NFCMWTRL,Laptop,491.67,52.0,3.0,10x14x8 cm,2023-01-01,2026-01-01,Blue/Medium,1.0
7KEY4N13,Monitor,,,2.0,9x15x10 cm,2023-01-01,2026-01-01,Red/Small,1.0
DYV4IIBE,Monitor,188.64,27.0,1.0,18x19x17 cm,2023-03-15,2024-01-01,Blue/Medium,4.0
IS1LBY0Y,Monitor,152.8,11.0,1.0,18x8x10 cm,2023-07-30,2025-01-01,Blue/Medium,3.0
2HC2Q36U,Monitor,468.64,10.0,1.0,16x11x18 cm,2023-01-01,2024-01-01,Red/Small,1.0
Y4VIQZCW,Headphones,,,2.0,13x12x11 cm,2023-03-15,2026-01-01,Green/Large,4.0
JLOWSHTS,Headphones,,,2.0,13x8x15 cm,2023-03-15,2025-01-01,Green/Large,3.0
9ZMDB8EW,Monitor,309.96,38.0,1.0,18x8x10 cm,2023-01-01,2026-01-01,Red/Small,
ZRC3DELS,Headphones,,57.0,1.0,8x19x12 cm,2023-07-30,2024-01-01,Green/Large,
T1PSU1OL,Monitor,,41.0,,11x12x5 cm,2023-03-15,2026-01-01,Blue/Medium,1.0
YTGMHSGA,Smartphone,44.57,34.0,2.0,20x18x6 cm,2023-07-30,2026-01-01,Green/Large,1.0
I7H03T4S,Laptop,238.49,57.0,1.0,10x8x17 cm,2023-07-30,2026-01-01,Blue/Medium,4.0
QBRJ1VTE,Monitor,299.49,40.0,1.0,10x17x8 cm,2023-07-30,2026-01-01,Blue/Medium,5.0
CYVT4HC7,Headphones,181.37,66.0,2.0,7x14x15 cm,2023-07-30,2024-01-01,Red/Small,3.0
C44BLRMA,Laptop,,9.0,2.0,12x19x5 cm,2023-03-15,2024-01-01,Blue/Medium,
AXQOZXAQ,Headphones,492.79,74.0,3.0,12x7x17 cm,2023-07-30,2026-01-01,Green/Large,2.0
8M7VZ1RL,Smartphone,,,3.0,13x5x7 cm,2023-03-15,2024-01-01,Green/Large,
N6AM2SV6,Headphones,444.83,65.0,2.0,8x8x19 cm,2023-03-15,2024-01-01,Blue/Medium,4.0
TOME0UZT,Headphones,422.28,90.0,2.0,7x17x8 cm,2023-03-15,2026-01-01,Red/Small,5.0
LUIWVOYB,Headphones,,57.0,2.0,6x5x10 cm,2023-01-01,2025-01-01,Red/Small,
6J5NNB29,Smartphone,,57.0,1.0,20x20x8 cm,2023-07-30,2024-01-01,Red/Small,5.0
NF7YVS6M,Laptop,,17.0,3.0,12x9x20 cm,2023-03-15,2025-01-01,Blue/Medium,3.0
6ULTHL44,Smartphone,381.09,51.0,1.0,14x16x20 cm,2023-03-15,2026-01-01,Red/Small,
VM9GXXZC,Smartphone,471.6,63.0,3.0,7x20x17 cm,2023-07-30,2024-01-01,Blue/Medium,5.0
1Q3649GM,Smartphone,182.31,17.0,1.0,12x20x13 cm,2023-01-01,2024-01-01,Red/Small,5.0
IWXBF9I3,Monitor,196.87,34.0,2.0,18x13x12 cm,2023-07-30,2024-01-01,Green/Large,1.0
A9WXE065,Monitor,271.66,50.0,,19x5x14 cm,2023-01-01,2025-01-01,Red/Small,1.0
KG4C781G,Monitor,24.5,94.0,1.0,6x7x15 cm,2023-07-30,2026-01-01,Green/Large,4.0
0QO29QT9,Monitor,232.91,,2.0,17x18x19 cm,2023-07-30,2024-01-01,Blue/Medium,4.0
8CMR8SVE,Smartphone,202.37,94.0,2.0,11x12x16 cm,2023-07-30,2024-01-01,Red/Small,2.0
CZX128OR,Smartphone,497.46,92.0,3.0,18x12x16 cm,2023-07-30,2025-01-01,Blue/Medium,5.0
2L4BA6CA,Monitor,66.33,,,13x15x14 cm,2023-01-01,2024-01-01,Green/Large,5.0
DCLH9XED,Laptop,,,1.0,7x14x11 cm,2023-01-01,2024-01-01,Blue/Medium,3.0
D4XYTW1Y,Laptop,199.48,100.0,2.0,7x20x9 cm,2023-03-15,2025-01-01,Blue/Medium,3.0
952TOLXU,Monitor,39.78,90.0,1.0,19x9x9 cm,2023-07-30,2024-01-01,Red/Small,5.0
M7XTS2SI,Laptop,484.23,83.0,3.0,20x20x6 cm,2023-07-30,2025-01-01,Green/Large,1.0
B100V4FB,Smartphone,140.45,47.0,2.0,17x9x19 cm,2023-01-01,2024-01-01,Blue/Medium,1.0
LEJ2VZVS,Headphones,361.9,25.0,3.0,8x9x8 cm,2023-01-01,2025-01-01,Green/Large,5.0
5989778W,Laptop,268.0,19.0,3.0,10x12x10 cm,2023-01-01,2024-01-01,Green/Large,
RAPIFH2X,Laptop,477.69,,1.0,9x20x10 cm,2023-07-30,2026-01-01,Green/Large,
YOCEX6MH,Smartphone,326.1,,1.0,19x9x10 cm,2023-03-15,2024-01-01,Red/Small,1.0
4Q1IB9FD,Smartphone,127.17,11.0,,13x20x20 cm,2023-01-01,2025-01-01,Red/Small,
Y060Z3GT,Laptop,494.26,28.0,1.0,13x17x15 cm,2023-07-30,2026-01-01,Green/Large,1.0
GSRQE40O,Monitor,168.71,92.0,,11x8x5 cm,2023-01-01,2024-01-01,Green/Large,1.0
R1FT3LGC,Headphones,,54.0,1.0,6x9x11 cm,2023-01-01,2025-01-01,Blue/Medium,
TDZBOWJI,Laptop,469.01,36.0,1.0,7x15x8 cm,2023-01-01,2026-01-01,Blue/Medium,2.0
NAA3YQVC,Monitor,300.53,58.0,2.0,13x15x13 cm,2023-07-30,2026-01-01,Red/Small,1.0
XWWMXXA8,Headphones,493.4,83.0,1.0,12x9x18 cm,2023-07-30,2025-01-01,Green/Large,1.0
GBGBAS5X,Smartphone,,67.0,3.0,14x10x8 cm,2023-01-01,2024-01-01,Red/Small,
QI0AO289,Monitor,294.71,,3.0,11x12x11 cm,2023-03-15,2026-01-01,Blue/Medium,5.0
FL2A2A3V,Monitor,406.95,29.0,1.0,20x13x13 cm,2023-07-30,2025-01-01,Blue/Medium,5.0
RX6OUC5Q,Smartphone,152.27,30.0,3.0,7x17x9 cm,2023-03-15,2026-01-01,Blue/Medium,4.0
7A8Z5XKY,Monitor,55.96,,3.0,20x10x10 cm,2023-01-01,2026-01-01,Blue/Medium,3.0
KCX97SS4,Monitor,133.05,18.0,3.0,19x5x12 cm,2023-03-15,2024-01-01,Red/Small,5.0
1RHY2WYE,Smartphone,223.8,,1.0,16x14x8 cm,2023-07-30,2025-01-01,Blue/Medium,5.0
Y2KR5WJ3,Laptop,384.5,40.0,3.0,10x5x14 cm,2023-03-15,2025-01-01,Red/Small,
KCLY1NBD,Monitor,36.82,99.0,2.0,10x20x9 cm,2023-07-30,2025-01-01,Red/Small,2.0
7D2N21XG,Headphones,,,1.0,5x5x5 cm,2023-03-15,2025-01-01,Green/Large,
R7DSJBQE,Headphones,100.97,46.0,1.0,7x6x16 cm,2023-03-15,2026-01-01,Green/Large,5.0
PDH421U3,Smartphone,293.06,87.0,2.0,12x18x15 cm,2023-07-30,2025-01-01,Blue/Medium,4.0
FH9OHJZE,Smartphone,41.65,30.0,3.0,17x19x9 cm,2023-03-15,2026-01-01,Green/Large,2.0
3X09T2X9,Headphones,349.24,5.0,3.0,18x20x15 cm,2023-01-01,2025-01-01,Red/Small,2.0
9BICLRWQ,Monitor,338.48,26.0,1.0,14x18x10 cm,2023-03-15,2024-01-01,Blue/Medium,2.0
LO2PMDHN,Laptop,36.4,16.0,1.0,20x5x13 cm,2023-07-30,2026-01-01,Red/Small,
55JULQKK,Monitor,177.15,66.0,3.0,7x17x5 cm,2023-03-15,2025-01-01,Red/Small,4.0
2P9HU6UT,Laptop,32.48,59.0,,10x8x9 cm,2023-03-15,2025-01-01,Red/Small,
PSMRQUBI,Smartphone,433.67,74.0,3.0,17x13x15 cm,2023-07-30,2025-01-01,Green/Large,2.0
O7X3RD6H,Laptop,269.59,35.0,2.0,19x20x9 cm,2023-03-15,2026-01-01,Green/Large,2.0
8DOQDUEN,Monitor,485.3,60.0,1.0,13x11x9 cm,2023-07-30,2024-01-01,Green/Large,1.0
C92SS2RS,Smartphone,29.63,43.0,1.0,15x14x13 cm,2023-07-30,2026-01-01,Green/Large,3.0
LW6ZR2M1,Monitor,283.68,95.0,,6x5x19 cm,2023-01-01,2026-01-01,Blue/Medium,5.0
Y05U1DSX,Smartphone,496.16,93.0,1.0,20x20x16 cm,2023-01-01,2026-01-01,Red/Small,3.0
XK9BCTZ6,Laptop,310.91,1.0,3.0,9x5x12 cm,2023-01-01,2026-01-01,Blue/Medium,2.0
45QSNHSF,Smartphone,164.32,16.0,1.0,7x17x10 cm,2023-03-15,2026-01-01,Red/Small,1.0
UMJ25HET,Monitor,217.16,8.0,3.0,13x20x17 cm,2023-03-15,2024-01-01,Green/Large,
TUPKUVLO,Headphones,249.01,52.0,,7x11x16 cm,2023-07-30,2026-01-01,Red/Small,2.0
FX1E6LCV,Headphones,349.0,,3.0,13x14x18 cm,2023-03-15,2024-01-01,Blue/Medium,4.0
G5ER2KUM,Laptop,263.27,42.0,3.0,13x16x20 cm,2023-07-30,2024-01-01,Red/Small,1.0
88OYV8O1,Monitor,29.04,76.0,,14x6x5 cm,2023-01-01,2026-01-01,Green/Large,5.0
MDNP1M45,Smartphone,68.19,36.0,1.0,16x19x20 cm,2023-01-01,2025-01-01,Red/Small,3.0
PMJ49WI1,Smartphone,55.81,22.0,3.0,15x10x8 cm,2023-01-01,2025-01-01,Red/Small,3.0
Q46SQSNV,Monitor,353.75,100.0,2.0,13x18x12 cm,2023-01-01,2024-01-01,Blue/Medium,3.0
M2EA7N35,Headphones,,,2.0,14x9x15 cm,2023-07-30,2026-01-01,Blue/Medium,
2H1N18S7,Headphones,182.06,20.0,3.0,6x11x19 cm,2023-07-30,2026-01-01,Red/Small,4.0
KQNFQDK7,Monitor,269.01,38.0,,16x13x8 cm,2023-07-30,2025-01-01,Blue/Medium,1.0
80I5VAMQ,Monitor,20.57,14.0,2.0,20x8x17 cm,2023-03-15,2026-01-01,Blue/Medium,3.0
6G3NLVB5,Monitor,193.04,68.0,1.0,20x17x20 cm,2023-01-01,2025-01-01,Red/Small,2.0
807M5B0Z,Smartphone,330.82,81.0,3.0,11x17x12 cm,2023-07-30,2025-01-01,Red/Small,1.0
VY3371EV,Laptop,491.81,2.0,2.0,15x16x17 cm,2023-03-15,2025-01-01,Green/Large,5.0
TQBY3W2I,Smartphone,482.32,78.0,1.0,12x11x8 cm,2023-03-15,2024-01-01,Green/Large,4.0
VSTB8CXZ,Laptop,430.3,53.0,1.0,19x19x18 cm,2023-01-01,2026-01-01,Green/Large,5.0
A1DYWSGA,Laptop,122.91,4.0,3.0,6x19x5 cm,2023-01-01,2024-01-01,Red/Small,2.0
VEJVXBQ1,Monitor,336.67,99.0,3.0,13x16x16 cm,2023-07-30,2024-01-01,Green/Large,
SAI0DFEE,Smartphone,18.47,,2.0,19x13x16 cm,2023-01-01,2026-01-01,Green/Large,1.0
3IKRGIHK,Smartphone,422.26,35.0,3.0,13x18x10 cm,2023-03-15,2024-01-01,Green/Large,5.0
PP8O5LWA,Headphones,463.59,80.0,1.0,15x8x6 cm,2023-01-01,2025-01-01,Blue/Medium,2.0
0ERXXK8W,Laptop,295.69,94.0,,5x17x11 cm,2023-01-01,2026-01-01,Green/Large,
B021WQCN,Headphones,484.4,93.0,1.0,12x18x7 cm,2023-03-15,2026-01-01,Red/Small,3.0
FBBL2S4D,Laptop,173.36,3.0,2.0,20x8x20 cm,2023-07-30,2024-01-01,Green/Large,3.0
AUCEIAEO,Laptop,339.84,,1.0,16x6x7 cm,2023-07-30,2024-01-01,Red/Small,2.0
3X5IALTX,Monitor,12.72,44.0,2.0,12x18x7 cm,2023-07-30,2026-01-01,Blue/Medium,1.0
UW6S2EMD,Smartphone,152.37,85.0,2.0,5x17x8 cm,2023-01-01,2026-01-01,Green/Large,2.0
P1DSN1F3,Monitor,425.81,,,10x14x20 cm,2023-07-30,2024-01-01,Red/Small,1.0
XP1G7FK2,Smartphone,179.46,24.0,1.0,8x20x8 cm,2023-01-01,2026-01-01,Red/Small,2.0
1954T4PZ,Monitor,438.48,87.0,,5x19x14 cm,2023-03-15,2024-01-01,Blue/Medium,
TWNQMAFE,Headphones,72.42,43.0,2.0,9x14x17 cm,2023-07-30,2025-01-01,Blue/Medium,4.0
3DIG6YAQ,Headphones,175.56,,1.0,20x18x9 cm,2023-03-15,2025-01-01,Green/Large,1.0
0QDDGYRX,Laptop,77.35,90.0,1.0,15x16x8 cm,2023-03-15,2025-01-01,Green/Large,3.0
ZQMAL9MA,Monitor,308.53,75.0,2.0,15x17x9 cm,2023-01-01,2026-01-01,Blue/Medium,2.0
0QERJ1H1,Monitor,437.37,77.0,,16x15x18 cm,2023-03-15,2025-01-01,Green/Large,1.0
44U5Y6TM,Smartphone,190.59,97.0,3.0,12x14x6 cm,2023-03-15,2026-01-01,Red/Small,1.0
ZZKKWP62,Headphones,167.96,82.0,3.0,15x11x5 cm,2023-07-30,2024-01-01,Blue/Medium,
1SG2PA7E,Monitor,371.86,27.0,3.0,8x5x8 cm,2023-03-15,2025-01-01,Green/Large,1.0
VG4ZN86Y,Headphones,449.07,,2.0,7x16x14 cm,2023-07-30,2024-01-01,Red/Small,4.0
YSBH4J80,Monitor,415.05,31.0,3.0,13x18x7 cm,2023-03-15,2025-01-01,Red/Small,3.0
BJH9DHJ2,Monitor,357.02,49.0,1.0,11x7x5 cm,2023-01-01,2026-01-01,Green/Large,
V0WHWYEH,Headphones,160.47,66.0,1.0,20x18x20 cm,2023-03-15,2024-01-01,Red/Small,1.0
TEXXF7U9,Headphones,488.58,94.0,1.0,12x5x11 cm,2023-07-30,2025-01-01,Green/Large,4.0
MENO1QRM,Laptop,95.98,85.0,3.0,14x8x13 cm,2023-01-01,2025-01-01,Red/Small,4.0
GTGXGBPZ,Headphones,300.27,7.0,1.0,14x5x15 cm,2023-07-30,2025-01-01,Green/Large,2.0
D0SJG0OL,Smartphone,286.77,50.0,1.0,6x8x7 cm,2023-03-15,2024-01-01,Red/Small,4.0
16VR66X2,Laptop,245.68,29.0,1.0,13x9x16 cm,2023-01-01,2024-01-01,Blue/Medium,5.0
KTKCQ8GB,Headphones,378.74,70.0,1.0,14x11x20 cm,2023-03-15,2026-01-01,Blue/Medium,1.0
AKXBD7R7,Monitor,320.46,,,8x13x19 cm,2023-07-30,2026-01-01,Red/Small,
BAAZYZ8A,Smartphone,419.95,71.0,,13x15x19 cm,2023-01-01,2026-01-01,Blue/Medium,1.0
8D2OO0QB,Smartphone,,1.0,,15x6x11 cm,2023-01-01,2025-01-01,Green/Large,5.0
EHNELOZ6,Headphones,282.2,48.0,1.0,10x5x13 cm,2023-03-15,2025-01-01,Blue/Medium,
SIZEDAYY,Headphones,458.19,17.0,3.0,19x9x17 cm,2023-01-01,2026-01-01,Blue/Medium,5.0
E0SRYYL0,Laptop,275.0,5.0,1.0,12x18x9 cm,2023-07-30,2026-01-01,Blue/Medium,2.0
U6NNWNWY,Monitor,245.8,95.0,1.0,10x12x6 cm,2023-07-30,2026-01-01,Blue/Medium,
X15KM9M8,Laptop,,53.0,,11x8x16 cm,2023-03-15,2024-01-01,Green/Large,
H35W31OG,Smartphone,261.61,,2.0,10x14x10 cm,2023-01-01,2024-01-01,Red/Small,4.0
ATA2ZZ7U,Monitor,398.94,54.0,3.0,5x9x19 cm,2023-03-15,2024-01-01,Green/Large,
BR3X7ESG,Headphones,376.04,36.0,2.0,17x19x18 cm,2023-07-30,2025-01-01,Green/Large,2.0
IGXKR6CR,Headphones,314.41,,3.0,8x13x6 cm,2023-03-15,2026-01-01,Red/Small,
0RM48RYM,Headphones,,87.0,,5x12x13 cm,2023-07-30,2025-01-01,Red/Small,4.0
5EW1DFS8,Monitor,372.25,,1.0,7x17x12 cm,2023-01-01,2026-01-01,Red/Small,
4NAYEJN4,Smartphone,88.11,51.0,1.0,16x15x15 cm,2023-03-15,2025-01-01,Red/Small,2.0
RPRXCIIK,Monitor,220.61,24.0,,8x8x9 cm,2023-07-30,2025-01-01,Blue/Medium,4.0
0LH2SHI0,Smartphone,120.46,52.0,3.0,17x5x11 cm,2023-07-30,2025-01-01,Red/Small,3.0
KVFXQA1W,Smartphone,223.2,19.0,1.0,18x17x12 cm,2023-01-01,2025-01-01,Green/Large,4.0
L38ICZ8E,Laptop,19.36,34.0,2.0,8x20x10 cm,2023-07-30,2024-01-01,Red/Small,1.0
FC0442EZ,Headphones,427.57,72.0,1.0,6x17x14 cm,2023-01-01,2025-01-01,Red/Small,5.0
XLTBFC8A,Laptop,155.87,9.0,1.0,17x12x5 cm,2023-07-30,2025-01-01,Red/Small,3.0
P6I4L0TC,Headphones,178.41,85.0,3.0,10x17x15 cm,2023-01-01,2024-01-01,Blue/Medium,
LMDVKH9K,Headphones,89.38,1.0,3.0,18x13x16 cm,2023-03-15,2026-01-01,Green/Large,1.0
R8JX01X8,Smartphone,,7.0,1.0,18x8x11 cm,2023-01-01,2024-01-01,Blue/Medium,
3HA60943,Headphones,290.83,87.0,2.0,20x19x8 cm,2023-01-01,2025-01-01,Red/Small,1.0
I7T5N1I6,Monitor,69.91,57.0,,10x14x6 cm,2023-03-15,2025-01-01,Blue/Medium,
LHPAYEOI,Monitor,444.84,17.0,1.0,8x19x9 cm,2023-03-15,2026-01-01,Green/Large,2.0
UCJDNIE2,Smartphone,83.99,78.0,3.0,14x10x8 cm,2023-01-01,2026-01-01,Red/Small,2.0
C4QGTPXT,Monitor,412.72,67.0,1.0,12x15x12 cm,2023-03-15,2025-01-01,Red/Small,2.0
9EMXOG2E,Monitor,,76.0,1.0,9x7x16 cm,2023-07-30,2025-01-01,Blue/Medium,5.0
